gtin,url,product_name,price,description,error
3600523999507,https://www.tesco.com/groceries/en-GB/products/311271519,L'Oreal Paris Excellence Universal Nudes 8U Light Blonde Permanent Hair Dye,11,L'OREAL PARIS EXCEL UNIVERSAL NUDES LIGHT BLD,
3600522892335,https://www.tesco.com/groceries/en-GB/products/302353333,L'oreal Revita Hyaluronic Acid Day Cream 50Ml,25,L'Oreal Revitali,
3600524053796,https://www.tesco.com/groceries/en-GB/products/314326889,L'Oreal Paris Casting Natural Gloss 423 Chestnut Brown Semi-Permanent Hair Dye,11,L'Oreal Paris Casting Natural Gloss 423 Chestnut Brown Semi-Permanent Hair Dye,
3600521286579,https://www.tesco.com/groceries/en-GB/products/267670851,L'Oreal Paris Casting Creme Gloss 454 Chocolate Brownie Semi-Permanent Hair Dye,10,"L'Oreal Paris Casting Creme Gloss 454 Chocolate Brownie Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",
5011408065008,https://www.tesco.com/groceries/en-GB/products/250037401,L'Oreal Paris Excellence Creme 4 Natural Dark Brown Permanent Hair Dye,10,L'Oreal Paris Excellence Creme 4 Natural Dark Brown Permanent Hair Dye,
3600522248798,https://www.tesco.com/groceries/en-GB/products/274708971,L'oreal Paris Revitalift Laser Renew Cream 50Ml,30,"L'oreal Paris Revitalift Laser Renew Cream 50Ml. Replumps, refirms, refines. Hyaluronic acid + pro-xylane 3%. Dermatologically tested",
3600521848289,https://www.tesco.com/groceries/en-GB/products/266793540,Loreal Men Deodorant Fresh Extreme 50Ml,2,Loreal Men Deodorant Fresh Extreme 50Ml,
3600524069698,https://www.tesco.com/groceries/en-GB/products/313735372,Lor/P Revlft Spf50+ Anti Ultra Violet Fluid 50Ml,10,Lor/P Revlft Spf50+ Anti Ultra Violet Fluid 50Ml,
3600523881673,https://www.tesco.com/groceries/en-GB/products/308493249,L'oreal Men Expert Stress Resist Shower Gel 400Ml,2.25,L'oreal Men Xprt Stress Resist Shower Gel 400ml,
3600524053840,https://www.tesco.com/groceries/en-GB/products/314437942,L'Oreal Paris Casting Natural Gloss 923 Vanilla Lightest Blonde Semi-Permanent Hair Dye,11,L'Or/CNG 923 Vani Ltst Blonde S/Prmt Hair Dye,
3600521923719,https://www.tesco.com/groceries/en-GB/products/267626536,L'Oreal Paris Excellence Creme 5.15 Natural Iced Brown Permanent Hair Dye,10,L'Oreal Paris Excellence Creme 5.15 Natural Iced Brown Permanent Hair Dye,
3600524061487,https://www.tesco.com/groceries/en-GB/products/314435593,L'Oreal Paris Casting Natural Gloss 553 Spiced Auburn Semi-Permanent Hair Dye,11,L'Oreal Paris Casting Natural Gloss 553 Spiced Auburn Semi-Permanent Hair Dye,
3600524121853,https://www.tesco.com/groceries/en-GB/products/315956907,L'Oreal Men Expert Hydra Energetic Shower Gel 1 Litre,5,L'OREAL MEN XPRT HYDRA ENERGETIC SHOWER GEL 1L,
3600520987699,https://www.tesco.com/groceries/en-GB/products/261067089,L'Oreal Paris Casting Creme Gloss 300 Darkest Brown Semi-Permanent Hair Dye,10,"L'Oreal Paris Casting Creme Gloss 300 Darkest Brown Semi-Permanent Hair Dye. Transform your hair with a glossy shine in the dark brown finish. Lasts up to 28 shampoos with patented conditioning complex with no ammonia. For all types of hair: Suitable for use on natural, coloured or highlighted",
3600523941919,https://www.tesco.com/groceries/en-GB/products/311781906,L'Oreal Paris Excellence Core 5.11 Ultra Ash Light Brown Permanent Hair Dye,10,l'OR/P EXCL 5.11 ULTRA ASH LIGHT BROWN HAIR COLR,
5011408004304,https://www.tesco.com/groceries/en-GB/products/255317477,L'Oreal Paris Preference Core 01 Prague Permanent Hair Dye,12,L'Oreal Paris Preference Core 01 Prague Permanent Hair Dye,
3600521637142,https://www.tesco.com/groceries/en-GB/products/251455895,L'Oreal Paris Studio Line Invisi'Hold Extra Strength Gel 150ml,3.5,L'Oreal Paris Studio Line Invisi'Hold Extra Strength Gel 150ml. For more style tips check out www.hairstyle.com. Please check back of pack for up to date ingredients,
5011408064971,https://www.tesco.com/groceries/en-GB/products/250037453,L'Oreal Paris Excellence Creme 5 Natural Brown Permanent Hair Dye,10,L'Oreal Paris Excellence Creme 5 Natural Brown Permanent Hair Dye,
3600524076078,https://www.tesco.com/groceries/en-GB/products/315844130,L'Oreal Paris Revitalift Clincal Vitamin C Refining Foam Cleanser 150ml,6,LOR/P REVLFT VIT C REFINING FOAM CLNSR 150ML,
3600520070285,https://www.tesco.com/groceries/en-GB/products/254806107,L'oreal Paris Age Perfect Rehydrating Eye Cream 15Ml,15,L'oreal Paris Age Perfect Rehydrating Eye Cream 15Ml. 15ml size. Eye Contour Cream. Tested under ophthalmological control,
3600520987743,https://www.tesco.com/groceries/en-GB/products/260994146,L'Oreal Paris Casting Creme Gloss 500 Medium Brown Semi-Permanent Hair Dye,10,"L'Oreal Paris Casting Creme Gloss 500 Medium Brown Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",
3600524127992,https://www.tesco.com/groceries/en-GB/products/315572059,L'Oreal Paris Elvive Glycolic Gloss Shampoo 200ml,13,L'Oreal Paris Elvive Glycolic Gloss Shampoo 200ml,
3600522274469,https://www.tesco.com/groceries/en-GB/products/275445191,L'Oreal Paris Preference 8L Extreme Platinum Permanent Hair Dye,12,"L'Oreal Paris Preference 8L Extreme Platinum Permanent Hair Dye. Lightens up to 8 levels. Absolute platinum, lustrous shine. Extreme lightening with brass-defying care",
3600524075729,https://www.tesco.com/groceries/en-GB/products/313738294,L’Oreal Men Expert Hylrnic/Ac Serum 30Ml,12.75,L'OR MEN EXPERT HYLRNIC/AC SERUM 30ML,
3600522483663,https://www.tesco.com/groceries/en-GB/products/280379198,L'Oreal Paris Preference Core 6.45 Brooklyn Permanent Hair Dye,12,L'Oreal Paris Preference Core 6.45 Brooklyn Permanent Hair Dye,
3600524015183,https://www.tesco.com/groceries/en-GB/products/311254264,L'Oreal Paris Preference Vivids 7.43 Copper Permanent Hair Dye,9,L'OREAL PARIS PREFERENCE COPPER,
3600523682768,https://www.tesco.com/groceries/en-GB/products/302226529,L'oreal Elvive Colour Protect Purple Shampoo 200Ml,3,L'Oreal Elvive C,
3600522239178,https://www.tesco.com/groceries/en-GB/products/274080496,,,,No Product data found in the response
3600524119829,https://www.tesco.com/groceries/en-GB/products/315959858,L'Oreal Paris Bright Reveal Niacinamide Dark Spot Serum 30ml,30,L'Oreal Paris Bright Reveal Niacinamide Dark Spot Serum 30ml,
3600520921068,https://www.tesco.com/groceries/en-GB/products/261064697,L'Oreal Paris Studio Line Xtreme Hold Gel 150ml,3.5,L'Oreal Paris Studio Line Xtreme Hold Gel 150ml. For more style tips check out www.hairstyle.com. Please check back of pack for up to date ingredients,
3600522251750,https://www.tesco.com/groceries/en-GB/products/274709054,L'oreal Paris Revitalift Laser Eye Cream 15Ml,30,"L'oreal Paris Revitalift Laser Eye Cream 15Ml. Replumps wrinkles, reduces eye bags, firms skin. Pro-xylane + cooling applicator. Suitable for all skin types",
3600524074661,https://www.tesco.com/groceries/en-GB/products/313609862,L'oreal Elvive Bond Repair Shampoo 200ml,13,L'Or/P Elvive Bond Repair Shampoo 200ml,
3600523017997,https://www.tesco.com/groceries/en-GB/products/295035899,L'Oreal Paris Preference 11.11 Venice Ultra-Light Crystal Blonde Permanent Hair Dye,12,L'Oreal Paris Preference 11.11 Venice Ultra-Light Crystal Blonde Permanent Hair Dye,
3600523682836,https://www.tesco.com/groceries/en-GB/products/302226542,L'oreal Elvive Colour Protect Purple Conditioner 150Ml,3,L'Oreal Elvive C,
3600524043575,https://www.tesco.com/groceries/en-GB/products/314430068,L'Oreal Paris Magic Retouch Permanent 4 Dark Brown,10,L'Or Magic Retouch Prmt 4 Dark Brown,
3600523971954,https://www.tesco.com/groceries/en-GB/products/311425068,L’Oreal Revitalift Laser Retinol Night Serum 30Ml,30,L’Oreal Revitalift Laser Retinol Night Serum 30Ml,
3600524030520,https://www.tesco.com/groceries/en-GB/products/311272340,L'oreal Men Expert Magnesium Hypoallergenic Face Wash 100Ml,4.5,L'OREAL MEN XPRT MAGNESIUM HYPO FACE WASH 100ML,
