url,product_name,price,description,error
https://www.tesco.com/groceries/en-GB/products/255315433,L'Oreal Paris Elnett Normal Hold Hairspray 200ml,3.75,L'Oreal Paris Elnett Normal Hold Hairspray 200ml,
https://www.tesco.com/groceries/en-GB/products/266792950,L’Oreal Men Expert Fresh Extreme Antiperspirant Deodorant 250Ml,3.0,L’Oreal Men Expert Fresh Extreme Antiperspirant Deodorant 250Ml. Ultra absorbent technology to combat wetness. Alcohol free. Proven 48hr dry effect,
https://www.tesco.com/groceries/en-GB/products/303675555,L’Oreal Men Expert Hydra. Energetic Face Scrub 100Ml,4.5,L’Oreal Men Expert Hydra. Energetic Face Scrub 100Ml,
https://www.tesco.com/groceries/en-GB/products/261072203,L'Oreal Paris Casting Creme Gloss 400 Dark Brown Semi-Permanent Hair Dye,10.0,"L'Oreal Paris Casting Creme Gloss 400 Dark Brown Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",
https://www.tesco.com/groceries/en-GB/products/251907488,L'Oreal Paris Preference 4.15 Caracas Intense Deep Brown Permanent Hair Dye,12.0,L'Oreal Paris Preference 4.15 Caracas Intense Deep Brown Permanent Hair Dye,
https://www.tesco.com/groceries/en-GB/products/261067106,L'Oreal Paris Casting Creme Gloss 316 Plum Semi-Permanent Hair Dye,10.0,"L'Oreal Paris Casting Creme Gloss 316 Plum Semi-Permanent Hair Dye. Conditioning colour with no ammonia. Lasts up to 28 shampoos. For all types of hair. Suitable for use on natural, coloured or highlighted",
https://www.tesco.com/groceries/en-GB/products/311687212,L’Oreal Paris Age Perfect Golden Age Rosy Oil Serum 30Ml,20.0,L'Or Paris A/Prf Golden Age Rosy Oil Serum 30ml ,
https://www.tesco.com/groceries/en-GB/products/309473387,L'Oreal Paris Excellence 3 Ultra Light Ash Blonde Permanent Hair Dye,10.0,L'OR/P EXCL PRMT HAIR DYE 03 LGHT A/BLNDE ,
https://www.tesco.com/groceries/en-GB/products/311253081,L'oreal Men Expert Hydrating Energetic Moisturiser Spf 15 50Ml,8.95,L'OREAL MEN XPRT HYDRA ENERGETIC MST SPF15 50ML ,
https://www.tesco.com/groceries/en-GB/products/265317976,L'oreal Paris Triple Active Day Dry Moisutriser 50Ml,4.5,"L'oreal Paris Triple Active Day Dry Moisutriser 50Ml. Revitalise & protect skin for an improved ability to retain water. Enriched with Vitamin E, ceramide & UV filter to prevent sun’s aging effect. Light &amp; non-greasy to melt into your skin. For dry &amp; sensitive skin",
https://www.tesco.com/groceries/en-GB/products/315460998,L'Oreal Paris Elvive Glycolic Gloss Conditioner 150ml,13.0,L'Oreal Paris Elvive Glycolic Gloss Conditioner 150ml,
https://www.tesco.com/groceries/en-GB/products/311442911,L'oreal Men Expert Magnesium Hypoallergenic Moisturiser 50Ml,8.25,L'OREAL MEN XPRT MAGNESIUM HYPO MOISTURISER 50ML ,
https://www.tesco.com/groceries/en-GB/products/303675532,L'oreal Men Expert Charcoal Face Scrub 100Ml,4.5,L'oreal Men Expert Charcoal Face Scrub 100Ml,
