url,error
https://www.tesco.com/groceries/en-GB/products/280379198,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/311254264,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/302226529,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/274080496,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/315959858,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/261064697,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/274709054,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/313609862,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/295035899,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/302226542,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/314430068,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/311425068,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/311272340,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/250746322,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/313503635,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/256386260,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/297631651,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/251109321,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/315579046,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/266379386,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/252467983,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/291300851,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/252724838,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/315843816,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/295025250,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/314118001,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/255315433,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/266792950,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/303675555,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/261072203,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/251907488,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/261067106,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/311687212,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/309473387,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/311253081,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/265317976,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/315460998,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/311442911,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/303675532,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/260993658,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/259880355,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/311274067,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/250756195,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/252223333,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/250037643,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/316176423,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/252197651,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/251040395,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/314432354,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/311215138,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/303718575,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/295035818,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/291570432,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/309495234,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/251551026,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/284744232,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/311280177,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/311210973,Failed to scrape: None
https://www.tesco.com/groceries/en-GB/products/313605820,Failed to scrape: None
